time_period,time_identifier,geographic_level,country_code,country_name,education_function,expenditure_type,expenditure_level,t_expenditure_millions,t_expenditure_real_terms_millions,pt_expenditure_of_gdp
201516,Financial year,National,K02000001,United Kingdom,Under fives,Current,Local,2932.9810000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Local,84.617999999999995,z,z
201516,Financial year,National,K02000001,United Kingdom,Under fives,Total,Local,3017.5990000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Primary education,Current,Local,24460.966,z,z
201516,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Local,2910.4450000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Primary education,Total,Local,27371.411,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Local,10478.44,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Local,1123.3600000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Local,11601.800000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Local,430.375,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Local,77.438000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Local,507.81299999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Local,2967.66,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Local,28.583000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Local,2996.2429999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Local,29.803000000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Local,z,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Local,29.803000000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Current,Local,41300.225000000006,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Capital,Local,4224.4440000000004,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Total,Local,45524.669000000009,z,z
201516,Financial year,National,K02000001,United Kingdom,Under fives,Current,Central,83.850999999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Central,0.77300000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Under fives,Total,Central,84.623999999999995,z,z
201516,Financial year,National,K02000001,United Kingdom,Primary education,Current,Central,676.73599999999999,z,z
