time_period,time_identifier,geographic_level,country_code,country_name,quarter,gender,age,population_category,number,percent
2001,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,832756.87387775723,12.934781341912604
2002,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,859075.18948523188,13.270712424813965
2002,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,872895.36558356229,13.410667192048292
2002,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,872845.98692117701,13.337405860282708
2002,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,836001.53840697696,12.705354680219683
2003,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,893327.75107723498,13.503876534855941
2003,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,891068.71214128972,13.397976146544357
2003,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,877233.56705078529,13.118133107031547
2003,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,847027.71700107469,12.597609194809698
2004,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,835620.36459509039,12.360430672632896
2004,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,879208.16225851444,12.935088179179827
2004,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,917891.78076910076,13.440885503966712
2004,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,922143.98120137269,13.444719211098599
2005,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,925242.77645357256,13.431194822487246
2005,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,946905.55735483416,13.686430629829887
2005,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,935234.17686274648,13.467630940819708
2005,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1003309.9597883904,14.398049814610847
2006,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,984064.79071136913,14.073319896553166
2006,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1021538.7232947625,14.559366374380057
2006,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1005929.199937571,14.276769690946796
2006,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,978938.86806929833,13.829892828862944
2007,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1000350.8649591105,14.068087105468591
2007,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1004191.146454427,14.057973713995228
2007,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,983058.45546815754,13.716586894757166
