time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Full-time,First degree,Total,6740
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Full-time,Masters and Others,Total,1340
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Full-time,Other Undergraduate,Total,1765
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Full-time,PhD and equivalent,Total,280
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Part-time,First degree,Total,330
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Part-time,Masters and Others,Total,1285
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Part-time,Other Undergraduate,Total,1365
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Part-time,PhD and equivalent,Total,75
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Full-time,First degree,Total,12550
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Full-time,Masters and Others,Total,5735
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Full-time,Other Undergraduate,Total,625
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Full-time,PhD and equivalent,Total,575
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Part-time,First degree,Total,1985
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Part-time,Masters and Others,Total,2550
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Part-time,Other Undergraduate,Total,405
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Part-time,PhD and equivalent,Total,180
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Full-time,First degree,Total,43615
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Full-time,Masters and Others,Total,4450
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Full-time,Other Undergraduate,Total,1815
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Full-time,PhD and equivalent,Total,4085
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Part-time,First degree,Total,2670
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Part-time,Masters and Others,Total,2195
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Part-time,Other Undergraduate,Total,500
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Part-time,PhD and equivalent,Total,665
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Full-time,First degree,Total,133155
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Full-time,Masters and Others,Total,68785
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Full-time,Other Undergraduate,Total,10140
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Full-time,PhD and equivalent,Total,2150
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Part-time,First degree,Total,12820
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Part-time,Masters and Others,Total,19105
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Part-time,Other Undergraduate,Total,5665
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Part-time,PhD and equivalent,Total,1065
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Full-time,First degree,Total,4525
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Full-time,Masters and Others,Total,1055
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Full-time,Other Undergraduate,Total,1780
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Full-time,PhD and equivalent,Total,275
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Part-time,First degree,Total,9645
