time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,pupil_teacher_ratio
201516,Academic year,National,E92000001,England,,,Nursery,18.7
201516,Academic year,National,E92000001,England,,,Primary,20.4
201516,Academic year,National,E92000001,England,,,Secondary,15.1
201516,Academic year,National,E92000001,England,,,Special,6
201516,Academic year,National,E92000001,England,,,Total maintained,17.3
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,22
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,19.7
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,14.9
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,7
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,16.8
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,17.3
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,20.7
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,14.7
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.2
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,17.2
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,18.3
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.4
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,15.5
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.6
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.1
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,20.7
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.2
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,15.6
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.4
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,21.7
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,20.8
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,15.1
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.5
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,17.4
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,20.4
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.5
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,15.5
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Special,5.8
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,17.4
201516,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,16.8
201516,Academic year,Regional,E92000001,England,E12000008,South East,Primary,20.5
201516,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,15.6
201516,Academic year,Regional,E92000001,England,E12000008,South East,Special,5.8
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,17.5
201516,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,13.6
201516,Academic year,Regional,E92000001,England,E12000009,South West,Primary,20
201516,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,15.5
201516,Academic year,Regional,E92000001,England,E12000009,South West,Special,5.5
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,17.2
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,17.6
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18.1
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,13
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,4.8
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.1
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,20.2
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.3
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,14.8
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.4
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17
201617,Academic year,National,E92000001,England,,,Nursery,19.7
201617,Academic year,National,E92000001,England,,,Primary,20.5
201617,Academic year,National,E92000001,England,,,Secondary,15.5
201617,Academic year,National,E92000001,England,,,Special,6
201617,Academic year,National,E92000001,England,,,Total maintained,17.5
201617,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,23.9
201617,Academic year,Regional,E92000001,England,E12000001,North East,Primary,19.9
