time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,age,gender,t_pupils
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Total,Female,285063
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Total,Male,301884
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Total,Total,586947
201516,Academic year,National,E92000001,England,,,Nursery,Total,Female,20800
201516,Academic year,National,E92000001,England,,,Nursery,Total,Male,22929
201516,Academic year,National,E92000001,England,,,Nursery,Total,Total,43729
201516,Academic year,National,E92000001,England,,,Primary,Total,Female,2263074
201516,Academic year,National,E92000001,England,,,Primary,Total,Male,2352098
201516,Academic year,National,E92000001,England,,,Primary,Total,Total,4615172
201516,Academic year,National,E92000001,England,,,Secondary,Total,Female,1588667
201516,Academic year,National,E92000001,England,,,Secondary,Total,Male,1604751
201516,Academic year,National,E92000001,England,,,Secondary,Total,Total,3193418
201516,Academic year,National,E92000001,England,,,Special,Total,Female,34427
201516,Academic year,National,E92000001,England,,,Special,Total,Male,85951
201516,Academic year,National,E92000001,England,,,Special,Total,Total,120378
201516,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,Total,Female,5330
201516,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,Total,Male,5311
201516,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,Total,Total,10641
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Total,Female,1646
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Total,Male,1718
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Total,Total,3364
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Total,Female,108785
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Total,Male,112219
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Total,Total,221004
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Total,Female,77374
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Total,Male,77765
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Total,Total,155139
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Total,Female,2164
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Total,Male,5711
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Total,Total,7875
201516,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,Total,Female,22216
201516,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,Total,Male,24568
201516,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,Total,Total,46784
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Total,Female,3120
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Total,Male,3361
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Total,Total,6481
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Total,Female,312634
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Total,Male,325510
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Total,Total,638144
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Total,Female,205409
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Total,Male,206966
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Total,Total,412375
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Total,Female,4999
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Total,Male,12825
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Total,Total,17824
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,Total,Female,15763
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,Total,Male,16318
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,Total,Total,32081
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Total,Female,1492
