time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,t_schools
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,2377
201516,Academic year,National,E92000001,England,,,Nursery,406
201516,Academic year,National,E92000001,England,,,Primary,16778
201516,Academic year,National,E92000001,England,,,Secondary,3401
201516,Academic year,National,E92000001,England,,,Special,1326
201516,Academic year,National,E92000001,England,,,Total,24288
201516,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,45
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,34
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,865
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,185
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,76
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total,1205
201516,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,253
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,70
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2447
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,461
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,208
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total,3439
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,146
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,28
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1787
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,313
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,119
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2393
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,157
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,31
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1634
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,293
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,98
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2213
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,210
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,61
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1776
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,418
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,164
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2629
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,236
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,41
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1991
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,399
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Special,135
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2802
201516,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,557
201516,Academic year,Regional,E92000001,England,E12000007,London,Nursery,80
201516,Academic year,Regional,E92000001,England,E12000007,London,Primary,1813
201516,Academic year,Regional,E92000001,England,E12000007,London,Secondary,484
201516,Academic year,Regional,E92000001,England,E12000007,London,Special,198
201516,Academic year,Regional,E92000001,England,E12000007,London,Total,3132
201516,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,553
201516,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,43
201516,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2600
201516,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,503
201516,Academic year,Regional,E92000001,England,E12000008,South East,Special,208
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total,3907
201516,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,220
201516,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
201516,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1865
201516,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,345
201516,Academic year,Regional,E92000001,England,E12000009,South West,Special,120
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total,2568
201617,Academic year,National,E92000001,England,,,Non-maintained mainstream,2361
201617,Academic year,National,E92000001,England,,,Nursery,402
201617,Academic year,National,E92000001,England,,,Primary,16786
201617,Academic year,National,E92000001,England,,,Secondary,3408
201617,Academic year,National,E92000001,England,,,Special,1324
201617,Academic year,National,E92000001,England,,,Total,24281
201617,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,46
201617,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,33
201617,Academic year,Regional,E92000001,England,E12000001,North East,Primary,861
201617,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,186
201617,Academic year,Regional,E92000001,England,E12000001,North East,Special,77
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total,1203
201617,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,253
201617,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,68
201617,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2452
201617,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,463
201617,Academic year,Regional,E92000001,England,E12000002,North West,Special,209
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total,3445
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,147
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1785
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,315
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,115
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2389
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,157
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,33
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1635
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,291
