time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Female,46332
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Male,26643.5
201516,Academic year,National,E92000001,England,,,Non-maintained mainstream,Total,72975.5
201516,Academic year,National,E92000001,England,,,Nursery,Female,1258.165
201516,Academic year,National,E92000001,England,,,Nursery,Male,59.59
201516,Academic year,National,E92000001,England,,,Nursery,Total,1318.215
201516,Academic year,National,E92000001,England,,,Primary,Female,185268.95496
201516,Academic year,National,E92000001,England,,,Primary,Male,33363.608067
201516,Academic year,National,E92000001,England,,,Primary,Total,218675.14289
201516,Academic year,National,E92000001,England,,,Secondary,Female,131591.706
201516,Academic year,National,E92000001,England,,,Secondary,Male,79179.72275
201516,Academic year,National,E92000001,England,,,Secondary,Total,210934.0635
201516,Academic year,National,E92000001,England,,,Special,Female,15627.33434
201516,Academic year,National,E92000001,England,,,Special,Male,6019.552138
201516,Academic year,National,E92000001,England,,,Special,Total,21648.88648
201516,Academic year,National,E92000001,England,,,Total,Female,383484.9103
201516,Academic year,National,E92000001,England,,,Total,Male,146254.823
201516,Academic year,National,E92000001,England,,,Total,Total,529947.4079
201516,Academic year,National,E92000001,England,,,Total maintained,Female,337152.9103
201516,Academic year,National,E92000001,England,,,Total maintained,Male,119611.323
201516,Academic year,National,E92000001,England,,,Total maintained,Total,456971.9079
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Female,83.48
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Male,2.2
201516,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Total,85.68
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Female,9046.31
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Male,1490.02
201516,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Total,10537.33
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Female,6624.927192
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Male,3735.372808
201516,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Total,10372.1
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Female,794.72
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Male,347.89
201516,Academic year,Regional,E92000001,England,E12000001,North East,Special,Total,1143.61
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total,Female,16710.43719
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total,Male,5626.142808
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total,Total,22350.38
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Female,16710.43719
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Male,5626.142808
201516,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Total,22350.38
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Female,201.4
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Male,3
201516,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Total,204.86
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Female,25276.321865
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Male,4589.7845064
201516,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Total,29870.151209
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Female,17918.03625
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Male,10096.68118
201516,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Total,28020.71742
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Female,2315.75
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Male,835.51
201516,Academic year,Regional,E92000001,England,E12000002,North West,Special,Total,3151.26
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total,Female,46049.79811
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total,Male,15608.38568
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total,Total,61668.68863
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Female,46049.79811
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Male,15608.38568
201516,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Total,61668.68863
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Female,79.68
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Male,4.5
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Total,84.18
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Female,18367.781073
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Male,3281.5706184
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Total,21649.351688
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Female,12524.71743
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Male,7848.511932
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Total,20388.12936
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Female,1152.153376
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Male,502.0263212
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Total,1654.179697
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Female,32527.08188
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Male,11772.99887
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Total,44314.98075
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Female,32527.08188
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Male,11772.99887
201516,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,Total,44314.98075
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,Female,82.735
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,Total,82.735
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Female,15236.371957
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Male,2692.4463798
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,Total,17941.704945
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Female,10846.4543
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Male,6751.272612
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,Total,17616.07167
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Female,1078.908686
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Male,410.9013135
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,Total,1489.81
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Female,27620.64994
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Male,9944.710305
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Total,37596.59162
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Female,27620.64994
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Male,9944.710305
201516,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,Total,37596.59162
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Female,166.91
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Male,6
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,Total,172.91
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Female,20266.482212
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Male,3525.5760097
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Total,23811.086623
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Female,14836.75206
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Male,8704.821297
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Total,23573.15355
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Female,2013.304286
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Male,729.94
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Total,2743.244286
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Female,37714.95855
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Male,13113.01731
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Total,50878.58445
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Female,37714.95855
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Male,13113.01731
201516,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Total,50878.58445
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Female,128.59
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Male,2.11
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Total,130.7
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Female,20539.594156
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Male,3460.6473115
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Total,24001.241468
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Female,14832.56415
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Male,9104.716542
201516,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Total,23954.47308
